company,price,diameter,topping,variant,size,extra_sauce,extra_cheese,extra_mushrooms
A,Rp235000,22 inch,chicken,double_signature,jumbo,yes,yes,no
A,Rp198000,20 inch,papperoni,double_signature,jumbo,yes,yes,no
A,Rp120000,16 inch,mushrooms,double_signature,reguler,yes,yes,yes
A,Rp155000,14 inch,smoked_beef,double_signature,reguler,yes,no,yes
A,Rp248000,18 inch,mozzarella,double_signature,jumbo,yes,no,yes
A,Rp140000,18.5 inch,black_papper,american_favorite,jumbo,no,no,yes
A,Rp110000,16 inch,smoked_beef,american_favorite,jumbo,no,yes,yes
A,Rp70000,8 inch,papperoni,american_favorite,reguler,no,no,yes
A,Rp90000,12 inch,mushrooms,american_favorite,reguler,yes,no,yes
A,Rp90000,12 inch,smoked_beef,american_favorite,reguler,no,no,no
A,Rp140000,18.5 inch,mozzarella,super_supreme,jumbo,no,no,no
A,Rp110000,16 inch,black_papper,super_supreme,jumbo,yes,yes,no
A,Rp70000,8 inch,smoked_beef,super_supreme,reguler,yes,yes,no
A,Rp90000,12 inch,black_papper,super_supreme,reguler,no,yes,no
A,Rp90000,12 inch,mozzarella,super_supreme,reguler,no,yes,no
A,Rp140000,18.5 inch,mozzarella,meat_lovers,jumbo,no,yes,yes
A,Rp110000,16 inch,smoked_beef,meat_lovers,jumbo,no,yes,yes
A,Rp70000,8 inch,chicken,meat_lovers,reguler,yes,yes,yes
A,Rp90000,12 inch,mushrooms,meat_lovers,reguler,yes,yes,yes
A,Rp90000,12 inch,mozzarella,meat_lovers,reguler,yes,yes,yes
A,Rp230000,22 inch,chicken,double_mix,jumbo,yes,yes,yes
A,Rp188000,18.5 inch,mushrooms,double_mix,jumbo,yes,yes,yes
A,Rp114000,14 inch,chicken,double_mix,reguler,yes,yes,yes
A,Rp149000,16.5 inch,smoked_beef,double_mix,reguler,yes,no,no
A,Rp149000,16.5 inch,chicken,double_mix,reguler,yes,no,no
B,Rp23500,8.5 inch,mozzarella,classic,small,yes,no,no
B,Rp46000,12 inch,chicken,classic,medium,yes,no,no
B,Rp72000,14 inch,smoked_beef,classic,large,yes,no,yes
B,Rp49000,12 inch,mozzarella,crunchy,medium,no,no,yes
B,Rp83000,17 inch,chicken,new_york,XL,no,yes,yes
B,Rp96000,12 inch,chicken,double_decker,medium,no,yes,yes
B,Rp31000,8.5 inch,mushrooms,classic,small,yes,yes,yes
B,Rp69000,12 inch,chicken,classic,medium,no,yes,yes
B,Rp93000,14 inch,mushrooms,classic,large,no,yes,yes
B,Rp75000,12 inch,mushrooms,crunchy,medium,no,yes,yes
B,Rp115000,17 inch,mozzarella,new_york,XL,no,yes,yes
B,Rp123000,12 inch,smoked_beef,double_decker,medium,yes,yes,yes
B,Rp33000,8.5 inch,chicken,classic,small,no,yes,yes
B,Rp46000,12 inch,mozzarella,classic,medium,yes,yes,yes
B,Rp72000,14 inch,chicken,classic,large,yes,yes,no
B,Rp76000,12 inch,chicken,crunchy,medium,no,no,no
B,Rp119000,17 inch,mushrooms,new_york,XL,yes,no,no
B,Rp126500,12 inch,smoked_beef,double_decker,medium,yes,no,no
B,Rp75000,8.5 inch,smoked_beef,classic,small,yes,yes,no
B,Rp46000,12 inch,mushrooms,classic,medium,yes,yes,no
B,Rp72000,14 inch,mozzarella,classic,large,yes,yes,no
B,Rp49000,12 inch,smoked_beef,crunchy,medium,no,yes,no
B,Rp83000,17 inch,chicken,new_york,XL,no,yes,no
B,Rp96000,12 inch,mushrooms,double_decker,medium,no,yes,no
C,Rp39000,8.5 inch,tuna,spicy_tuna,small,yes,yes,yes
C,Rp72000,12 inch,tuna,spicy_tuna,medium,yes,yes,yes
C,Rp99000,14 inch,tuna,spicy_tuna,large,yes,yes,yes
C,Rp44000,8.5 inch,meat,BBQ_meat_fiesta,small,yes,no,yes
C,Rp78000,12 inch,meat,BBQ_meat_fiesta,medium,no,no,no
C,Rp105000,14 inch,meat,BBQ_meat_fiesta,large,yes,no,yes
C,Rp39000,8.5 inch,sausage,BBQ_sausage,small,no,yes,yes
C,Rp72000,12 inch,sausage,BBQ_sausage,medium,yes,yes,no
C,Rp99000,14 inch,sausage,BBQ_sausage,large,no,yes,no
C,Rp35000,8.5 inch,mushrooms,extravaganza,small,yes,yes,no
C,Rp60000,12 inch,onion,extravaganza,medium,yes,yes,no
C,Rp98000,14 inch,mozzarella,extravaganza,large,yes,yes,yes
C,Rp35000,8.5 inch,meat,meat_eater,small,yes,yes,yes
C,Rp60000,12 inch,meat,meat_eater,medium,yes,yes,yes
C,Rp98000,14 inch,meat,meat_eater,large,yes,yes,no
C,Rp44000,8.5 inch,vegetables,gournet_greek,small,no,no,no
C,Rp78000,12 inch,vegetables,gournet_greek,medium,no,no,no
C,Rp105000,14 inch,vegetables,gournet_greek,large,no,no,no
C,Rp28000,8.5 inch,vegetables,italian_veggie,small,no,yes,no
C,Rp51000,12 inch,vegetables,italian_veggie,medium,no,yes,no
C,Rp84000,14 inch,vegetables,italian_veggie,large,yes,yes,no
C,Rp39000,8.5 inch,vegetables,thai_veggie,small,no,yes,yes
C,Rp72000,12 inch,vegetables,thai_veggie,medium,yes,no,yes
C,Rp99000,14 inch,vegetables,thai_veggie,large,no,no,yes
C,Rp35000,8.5 inch,beef,american_classic,small,yes,no,yes
C,Rp60000,12 inch,beef,american_classic,medium,yes,no,yes
C,Rp98000,14 inch,beef,american_classic,large,yes,no,yes
C,Rp32000,8.5 inch,tuna,neptune_tuna,small,yes,no,yes
C,Rp54000,12 inch,tuna,neptune_tuna,medium,yes,yes,no
C,Rp92000,14 inch,tuna,neptune_tuna,large,yes,yes,no
D,Rp140000,18.5 inch,mozzarella,meat_lovers,jumbo,no,yes,no
D,Rp110000,16 inch,smoked_beef,meat_lovers,jumbo,no,yes,no
D,Rp70000,8 inch,chicken,meat_lovers,reguler,yes,yes,no
D,Rp90000,12 inch,mushrooms,meat_lovers,reguler,yes,yes,no
D,Rp90000,12 inch,mozzarella,meat_lovers,reguler,yes,yes,no
D,Rp230000,22 inch,chicken,double_mix,jumbo,yes,yes,yes
D,Rp188000,18.5 inch,mushrooms,double_mix,jumbo,yes,yes,yes
D,Rp114000,14 inch,chicken,double_mix,reguler,yes,yes,yes
D,Rp149000,16.5 inch,smoked_beef,double_mix,reguler,yes,no,yes
D,Rp149000,16.5 inch,chicken,double_mix,reguler,yes,no,yes
D,Rp23500,8.5 inch,mozzarella,classic,small,yes,no,yes
D,Rp46000,12 inch,chicken,classic,medium,yes,no,yes
D,Rp72000,14 inch,smoked_beef,classic,large,yes,no,yes
D,Rp49000,12 inch,mozzarella,crunchy,medium,no,no,yes
D,Rp83000,17 inch,chicken,new_york,XL,no,yes,yes
D,Rp96000,12 inch,chicken,double_decker,medium,no,yes,no
D,Rp31000,8.5 inch,mushrooms,classic,small,yes,yes,no
D,Rp69000,12 inch,chicken,classic,medium,no,yes,no
D,Rp93000,14 inch,mushrooms,classic,large,no,yes,no
D,Rp75000,12 inch,mushrooms,crunchy,medium,no,yes,yes
E,Rp115000,17 inch,mozzarella,new_york,XL,no,yes,yes
E,Rp23500,8.5 inch,mozzarella,classic,small,yes,no,yes
E,Rp46000,12 inch,chicken,classic,medium,yes,no,yes
E,Rp72000,14 inch,smoked_beef,classic,large,yes,no,no
E,Rp49000,12 inch,mozzarella,crunchy,medium,no,no,no
E,Rp83000,17 inch,chicken,new_york,XL,no,yes,no
E,Rp96000,12 inch,chicken,double_decker,medium,no,yes,no
E,Rp31000,8.5 inch,mushrooms,classic,small,yes,yes,no
E,Rp69000,12 inch,chicken,classic,medium,no,yes,yes
E,Rp93000,"14 inch
",mushrooms,classic,large,no,yes,yes
E,Rp75000,12 inch,mushrooms,crunchy,medium,no,yes,yes
E,Rp115000,17 inch,mozzarella,new_york,XL,no,yes,yes
E,Rp123000,12 inch,smoked_beef,double_decker,medium,yes,yes,yes
E,Rp33000,8.5 inch,chicken,classic,small,no,yes,yes
E,Rp46000,12 inch,mozzarella,classic,medium,yes,yes,yes
E,Rp72000,14 inch,chicken,classic,large,yes,yes,yes
E,Rp76000,12 inch,chicken,crunchy,medium,no,no,yes
E,Rp119000,17 inch,mushrooms,new_york,XL,yes,no,no
E,Rp126500,12 inch,smoked_beef,double_decker,medium,yes,no,no
E,Rp75000,8.5 inch,smoked_beef,classic,small,yes,yes,no
E,Rp46000,12 inch,mushrooms,classic,medium,yes,yes,no
E,Rp72000,14 inch,mozzarella,classic,large,yes,yes,no
E,Rp49000,12 inch,smoked_beef,crunchy,medium,no,yes,no
E,Rp83000,17 inch,chicken,new_york,XL,no,yes,no
E,Rp96000,12 inch,mushrooms,double_decker,medium,no,yes,yes
E,Rp39000,8.5 inch,tuna,spicy tuna,small,yes,yes,yes
E,Rp72000,12 inch,tuna,spicy tuna,medium,yes,yes,yes
E,Rp99000,14 inch,tuna,spicy tuna,large,yes,yes,yes
E,Rp44000,8.5 inch,meat,BBQ_meat_fiesta,small,yes,no,yes
E,Rp78000,12 inch,meat,BBQ_meat_fiesta,medium,no,no,yes
